LeagueIndex,Age,HoursPerWeek,TotalHours,APM,WorkersMade
Diamond,27,10,3000,143.718,0.0013966
Diamond,23,10,5000,129.2322,0.0011935
Platinum,30,10,200,69.9612,0.00074455
Gold,19,20,400,107.6016,0.0004262
Gold,32,10,500,122.8908,0.0011745
Silver,27,6,70,44.457,0.00037221
Bronze,21,8,240,46.9962,0.00057296
GrandMaster,17,42,10000,212.6022,0.0022773
Platinum,20,14,2708,117.4884,0.0010347
Platinum,18,24,800,155.9856,0.0013103
Gold,16,16,6000,153.801,0.0015928
Platinum,26,4,190,79.2948,0.00075708
Gold,18,12,350,67.4754,0.00074847
Gold,38,6,1000,119.4366,0.0014943
Diamond,16,30,5000,160.4754,0.0019809
Diamond,17,16,1500,81.7722,0.001246
Platinum,28,8,2000,50.8374,0.00066411
Diamond,20,10,120,160.6464,0.0027676
Diamond,16,14,350,107.9118,0.0013323
Platinum,26,28,1100,114.7806,0.0015806
Diamond,21,10,800,115.1274,0.00082505
Master,21,6,500,133.7016,0.0010083
Diamond,18,20,800,99.5088,0.0019614
Diamond,26,10,500,83.9172,0.00065413
Platinum,17,14,500,216.6936,0.001204
Platinum,23,20,800,129.8598,0.00075276
Master,18,70,2520,267.5586,0.00085569
Diamond,25,6,800,74.1174,0.00092857
Diamond,25,20,700,101.6796,0.0010324
Master,18,10,160,150.5004,0.001007
Gold,19,6,150,64.6416,0.00063733
Gold,18,8,250,41.9094,0.00066817
Diamond,16,16,1000,128.0784,0.00043048
Master,16,28,500,161.3466,0.0013475
Platinum,22,4,400,90.7686,0.00070703
Master,20,14,730,162.0876,0.0026024
Bronze,18,6,230,69.5076,0.00058357
Gold,16,24,300,81.0702,0.00080822
Diamond,22,8,300,157.332,0.0018929
Platinum,23,4,100,67.6194,0.00083782
Silver,25,10,200,75.9642,0.00093316
Diamond,25,12,200,164.1114,0.0012774
Platinum,20,14,270,101.7864,0.00096878
Silver,25,8,100,79.128,0.00043657
Platinum,22,20,1200,120.7014,0.00051612
Master,18,20,800,108.5424,0.0025351
Diamond,18,28,800,84.1578,0.00086724
Gold,23,2,30,66.7818,0.00042704
Master,18,28,2000,129.1464,0.00083188
Gold,18,8,600,62.2194,0.00071046
Gold,20,6,150,72.141,0.00079713
Platinum,23,20,100,83.9658,0.00071957
Diamond,17,56,540,199.6854,0.0020876
Platinum,29,12,800,66.6738,0.0010314
Silver,27,24,250,73.9722,0.00058166
Master,21,8,730,130.941,0.00059728
Silver,27,8,280,55.047,0.00052689
Master,16,10,1600,181.104,0.0017226
Platinum,22,36,1000,98.6694,0.0005915
Platinum,18,6,50,107.4186,0.00095776
Platinum,18,4,140,119.8716,0.0023445
Diamond,18,24,200,111.8556,0.0010096
Gold,24,10,200,87.162,0.0011181
Silver,16,24,50,109.038,0.0010186
Master,16,42,700,163.4436,0.00084197
Master,20,16,900,127.6602,0.0026637
Diamond,23,12,600,142.5096,0.0012537
Diamond,19,6,550,106.4316,0.0010099
Diamond,23,8,700,68.6388,0.00061743
Master,23,40,2000,128.0802,0.00106
Master,20,16,625,189.1506,0.0012728
Gold,17,8,100,98.634,0.0014336
Gold,35,14,1300,38.6472,0.00054831
Silver,22,16,450,114.942,0.0013888
Master,16,28,750,211.0536,0.00088479
Diamond,21,10,350,77.7252,0.00066263
Platinum,28,6,1200,62.8314,0.00059686
Diamond,22,6,160,134.571,0.0018341
Platinum,31,10,400,119.232,0.00063209
Platinum,26,8,600,83.2656,0.00050524
Platinum,21,16,612,109.4994,0.0015212
Diamond,23,20,1300,110.7312,0.00057802
Platinum,25,4,180,107.4084,0.0011445
Silver,32,10,400,53.8788,0.00047352
Gold,31,12,300,72.0948,0.00042391
Diamond,18,6,180,162.4398,0.00081837
Diamond,21,20,1000,111.0876,0.00064015
Diamond,19,14,450,117.4128,0.0018604
Diamond,27,10,150,164.4894,0.0008616
Master,20,28,1600,195.1986,0.0014084
Diamond,17,28,730,116.2062,0.0012105
Master,17,14,300,207.576,0.002059
Diamond,20,18,770,193.6086,0.0028692
Diamond,17,36,720,335.499,0.00056659
Diamond,19,8,500,188.76,0.00063916
Gold,30,12,500,62.898,0.00072765
Master,24,24,1000,146.6856,0.0015847
Silver,16,28,300,76.8504,0.00038025
Platinum,23,4,415,59.181,0.00083321
Platinum,31,4,500,100.4322,0.0010905
Master,16,20,500,157.9002,0.0007622
Gold,22,10,200,87.2484,0.00055673
Platinum,16,14,150,130.4472,0.0010897
Master,22,24,1000,189.375,0.0011191
GrandMaster,21,24,1000,286.4538,0.0013723
Master,21,10,350,178.368,0.00091444
Bronze,33,4,120,68.6598,0.0005416
Diamond,23,12,500,136.5768,0.00058878
Master,25,10,400,262.611,0.0024182
Gold,19,20,730,91.308,0.00074888
Master,23,20,1800,176.5188,0.002352
Master,16,42,2200,209.8398,0.0018281
Gold,22,40,480,108.4692,0.00098309
Master,18,10,430,166.902,0.0018458
Platinum,21,12,350,89.9394,0.0011183
Platinum,19,20,639,197.5674,0.00093301
Master,22,10,1000,91.866,0.0014091
Diamond,21,12,730,166.5636,0.0019048
Gold,19,28,360,99.2874,0.0013926
GrandMaster,24,16,1250,216.6852,0.00068785
Master,21,24,750,130.5,0.0026029
Gold,19,12,480,52.8438,0.0011445
Diamond,17,24,365,200.9172,0.001046
Diamond,19,14,1000,144.6822,0.002046
Diamond,23,12,300,125.7894,0.00094753
Master,23,28,1000,113.601,0.00087719
Master,16,4,300,157.9686,0.0011874
Silver,20,6,100,61.7502,0.0010095
Platinum,22,10,700,83.085,0.0011067
Platinum,32,2,300,38.2104,0.00059775
Gold,18,24,400,83.376,0.0005039
Diamond,23,10,500,119.5992,0.0011601
Diamond,19,10,700,129.9594,0.0014265
Gold,18,12,450,78.825,0.00034122
Diamond,16,12,600,81.711,0.00079959
Gold,25,20,800,76.5426,0.00057359
Platinum,19,6,50,88.1628,0.0011737
Diamond,29,20,1000,134.2992,0.0007207
Gold,22,12,100,66.8676,0.00051278
Gold,21,2,50,37.2018,0.00045331
Master,24,24,400,207.8286,0.0012435
Master,17,4,720,203.2488,0.0012944
Diamond,21,8,650,169.3164,0.0015283
Diamond,19,10,400,172.4688,0.00086474
Platinum,20,6,1000,96.756,0.00067675
Master,22,16,500,297.0672,0.00060059
Master,17,10,500,109.6176,0.0011063
Platinum,19,6,200,62.1042,0.00082852
Master,19,56,1500,151.9794,0.0010302
Master,19,12,800,133.884,0.0011685
Platinum,20,24,233,69.1764,0.00048926
Master,27,12,416,149.094,0.0012789
Diamond,26,12,200,111.342,0.00069451
Master,25,4,800,87.2346,0.00087841
Master,20,24,500,135.414,0.0015623
Platinum,18,16,600,125.832,0.0011577
Gold,27,6,120,58.6008,0.0010126
Master,24,42,1200,186.7284,0.00063787
Platinum,16,8,1000,79.2294,0.00078425
Platinum,32,20,1000,145.7052,0.00094846
Platinum,17,16,150,115.536,0.00086416
Master,17,56,1825,165.321,0.0016761
Diamond,17,10,780,174.2208,0.0012743
Platinum,16,12,350,129.5088,0.00089585
Gold,23,4,400,156.9822,0.0010593
Platinum,17,36,1260,82.5732,0.0016068
Master,18,14,500,135.3252,0.0011954
Bronze,22,20,315,54.0792,0.0013316
Platinum,19,24,200,85.0974,0.00099401
Diamond,22,10,500,67.1406,0.0011335
Master,24,18,750,157.167,0.0017857
Platinum,19,8,480,156.2238,0.0015653
Diamond,25,10,700,127.887,0.0020402
Platinum,23,20,300,94.2774,0.00091497
Gold,16,56,1260,114.2112,0.0014599
Platinum,18,12,2000,133.3434,0.001264
Diamond,17,14,600,99.5436,0.00088237
Diamond,20,10,600,114.8658,0.00089373
Gold,32,20,250,76.0464,0.00045792
Platinum,21,4,500,86.7318,0.00078783
Diamond,28,20,600,91.3278,0.0017719
Diamond,23,4,200,100.4274,0.00092644
Diamond,25,8,600,99.8568,0.00099327
Diamond,21,8,800,120.9714,0.00060812
Silver,24,12,10,44.5248,0.00060649
Diamond,28,8,312,131.097,0.0018411
Platinum,17,18,430,129.3624,0.00054454
Bronze,19,16,730,60.4956,0.0012924
Platinum,17,8,400,87.531,0.00099774
Bronze,17,12,300,89.031,0.0014341
Gold,25,8,110,133.6512,0.00098121
Gold,21,10,200,68.1486,0.00076198
Platinum,22,24,1000,55.077,0.00076198
Master,18,42,1700,70.7214,0.0011594
Master,16,14,1000,165.0564,0.0013844
Master,21,42,1260,143.7696,0.00066203
Diamond,24,12,700,99.5442,0.00081197
Diamond,20,24,600,125.8662,0.0012115
Gold,16,20,450,124.5054,0.0015952
Diamond,18,28,1200,136.485,0.0011014
Diamond,24,10,200,148.0326,0.0014603
Silver,18,12,500,89.5368,0.00064092
Diamond,37,14,800,327.7218,0.0010766
Gold,19,10,300,121.377,0.001697
Master,21,16,600,187.4826,0.0013282
Diamond,18,10,1000,141.735,0.0017899
Gold,16,8,92,100.3074,0.0012821
Diamond,16,8,800,118.9332,0.0015394
Master,19,10,900,158.868,0.000693
Master,19,20,2500,125.118,0.0011074
Master,22,28,1000,93.741,0.00092264
Silver,21,16,500,101.6526,0.00097828
Master,19,20,1400,172.1688,0.0022929
Gold,27,10,220,84.8274,0.0017069
Silver,29,4,100,86.5122,0.00071493
Gold,17,8,730,114.2478,0.0012443
Gold,26,8,730,93.5688,0.001472
Diamond,18,28,700,128.9046,0.00074114
Diamond,25,12,800,138.1902,0.0011561
Diamond,28,8,500,72.816,0.00094226
Diamond,21,28,800,85.395,0.0007716
Silver,23,8,400,114.7236,0.0016712
Platinum,23,8,400,141.6378,0.00070386
Master,16,28,1000,197.7714,0.0010708
Gold,28,12,500,48.0486,0.0013007
Platinum,20,28,999,110.1012,0.0015547
Platinum,19,8,500,125.103,0.0014285
Silver,22,14,700,34.9278,0.00048232
Platinum,20,12,200,73.5696,0.00083372
Silver,18,8,400,87.5064,0.0018599
Silver,18,28,250,73.02,0.00050392
Bronze,21,10,150,86.2812,0.001134
Silver,19,20,120,119.073,0.00095163
Gold,23,16,500,99.9318,0.001766
Master,25,56,2500,160.971,0.0009674
Diamond,17,8,100,167.6424,0.0019094
Master,22,28,500,124.5138,0.00083597
Diamond,17,96,900,145.806,0.0010135
Platinum,20,8,600,130.1964,0.0015993
Gold,20,20,500,133.8408,0.00097171
Platinum,19,10,600,64.7592,0.00051895
Diamond,21,16,1000,105.6162,0.00094933
Diamond,20,42,550,175.92,0.0013373
Diamond,20,2,150,107.1972,0.00075199
Gold,23,24,700,76.1916,0.0011347
Master,22,30,1000,132.111,0.0030276
Bronze,35,12,250,33.6204,0.00065178
Gold,20,10,300,55.4748,0.00042137
Silver,18,20,500,96.3384,0.0013207
Gold,18,28,450,137.964,0.0013491
Diamond,18,8,720,99.8766,0.00081479
Diamond,18,20,700,105.147,0.00091109
Diamond,22,12,700,89.2788,0.00088015
Master,23,28,450,105.6042,0.0010808
